Column Name,#,Demo Values,LLM Description,Informative Value,Data Type
Value in EUR (MV_MONVALUE_CONVERTED),9," '8080.0', '1026.098', '100'","The monetary value of the transaction or material converted into euros, which could be values like 100, 500, etc.",direct,"Amounts, Values & Units"
Plant (WERKS),8," 'RU04', 'P002', 'F055'","The factory or site where the operation takes place, typically indicated by a code like 'A001' or 'B123'.",indirect,UIDs
Material Group (MATKL),7," 'BS_MATGR', '05', 'NIKE'",This column stores the material group to which the specific material belongs.,indirect,Status & Indicators
Country/Reg. (LAND1),7," 'US','DE', 'CH'","Two-letter country code indicating the location related to the transaction or entity, such as 'US' or 'DE'.",direct,UIDs
Company Code (BUKRS),7," 'AG01', 'RU04', 'F001'","A unique identifier for a company within the corporate structure, such as 'ABCD' or '1234'.",indirect,UIDs
Material (MATNR),7," 'DH_TM_MAT2', 'BS_SPED_TEST_BLNK_SEG', 'SGA_KEYBOARD_K1X'","Identification number for a specific material or product, like '000000000001234567'.",indirect,UIDs
User group (CLASS),7," 'TESTER','TESTER','TESTER'","A group to which the user belongs, that could define roles like 'Administrator', 'Manager', etc.",indirect,UIDs
User Type (USTYP),7," 'S', 'A','A'","The category of the user, which might include types such as 'Employee', 'Vendor', or 'Customer'.",indirect,UIDs
Material Type (MTART),6,"'HALB', 'ROH', 'HALB'","The category defining the type of material, which could be codes representing 'Finished Products', 'Raw Materials', etc.",indirect,Status & Indicators
Location (LGORT),6," 'AFS','1.0', '171C'","The specific location within a plant, which might refer to warehouse number or storage area, denoted by codes like '0001' or 'A100'.",indirect,UIDs
Special Stock (SOBKZ),5," 'P', 'E','E'","Indicates the ownership status of the stock, with potential values like 'E' for consignment or 'Q' for project stock.",indirect,Status & Indicators
Profit Center (PRCTR),5," 'J001_P01', 'RUEC_01', 'SAP-DUMMY'","Represents the organizational unit within a company for which the profits are calculated, coded as 'PC123'.",indirect,UIDs
Created By (ERNAM),5," 'HABIBULLINA', 'CHEWEV', 'MRA'","Shows the user ID of the person who created the entry, like 'JDOE' for John Doe.",indirect,UIDs
Net Value (NETWR),4," '10890.0', '160.0', '850.88'","Represents the monetary value of transactions, in the local currency like '5000.00' for the net price.",direct,"Amounts, Values & Units"
Safety Stock (EISBE),4," '2.0','0.0', '25.0'",Indicates the minimum quantity of stock to be maintained for a material to prevent stockouts,direct,"Amounts, Values & Units"
Created On (ERDAT),4," '2022-05-13', '2022-07-12', '2021-03-19'","The date an entry is made in the system, typically in the format 'YYYY-MM-DD'.",direct,Dates & Timestamps
GR Proc. Time (WEBAZ),4," '10', '1','1'","Goods Receipt Processing Time in days, indicating the duration between ordering and receiving goods.",direct,Dates & Timestamps
Business Area (GSBER),4,"'F001', '1.0', '1'","A unique code that denotes the specific business area within an organization, such as sales, finance or logistics",indirect,Status & Indicators
Deliv. Compl. (ELIKZ),4,EMPTY,"Indicates whether delivery is completed, with a value like 'X' for complete.",indirect,Status & Indicators
Doc. Category (BSTYP),4," 'F','F', 'F'","Specifies the type of purchasing document (e.g., purchase order, contract)",indirect,Status & Indicators
Lot Sizing Procedure (DISLS),4," 'FX', 'EX','EX'","Defines how lot sizes are calculated, with values like 'HB' for reorder point planning.",indirect,Status & Indicators
MRP Type (DISMM),4," 'ND','ZD', 'F2'","Describes the material requirements planning (MRP) procedure that determines how a material is planned (e.g., re-order point planning, forecast-based planning)",indirect,Status & Indicators
Shipping Point (VSTEL),4," 'RU04', 'VS01', '3100'","The location from which goods are shipped, identified by a code such as '0001'.",indirect,UIDs
Batch (CHARG),4," 'C1','330817.0', '330855.0'","Represents the batch or lot number of a product which is used to track the product batch for quality, expiry and other purposes",indirect,UIDs
Supplier (LIFNR),4," 'URA_SELLER','URA_DPP', 'HIRA_REF01'","The code or name identifying the supplier of goods, for example, 'SUPP01'.",indirect,UIDs
Short Text (TXZ01),3,"'Test batch', 'RED', 'Medium'",Contains a brief description or name of the material or service being purchased.,direct,Ambiguous
Currency (WAERS),3," 'EUR', 'RUB', 'USD'","Represents the currency used in the financial transactions, like USD or EUR.",direct,"Amounts, Values & Units"
Order Unit (MEINS),3,"'BU', 'M', 'STD'","The unit of measure for the items ordered, like KG for kilograms, L for liters.",direct,"Amounts, Values & Units"
Document Date (BLDAT),3," '2022-05-20', '2022-07-15', '2017-03-23'",The date when the document (such as an invoice or purchase order) was posted in the system,direct,Dates & Timestamps
Planned Gds Mvmt (WADAT),3," '2021-04-06','2021-05-31', '2021-01-07'","The planned goods movement date, indicating when materials are expected to move in or out of stock",direct,Dates & Timestamps
Profit Center (KO_PRCTR),3," 'SAP-DUMMY', 'PC_01','PC00'",The organizational unit in controlling that reflects a management-oriented structure for profit analysis.,indirect,Status & Indicators
Acct Assgmt Cat (KNTTP),3," 'F', 'K', 'A'","Determines the type of account assignment like 'Cost Center', 'Sales Order', 'Project' which specifies the cost bearing object.",indirect,Status & Indicators
Bus.area:prtner (KO_GSBER),3,EMPTY,"The business area responsible for financial transactions, possibly indicating responsibility centers.",indirect,Status & Indicators
Division (SPART),3," 'S1','1', '60'",Represents a product or service division within a company.,indirect,Status & Indicators
Document Type (BSART),3," 'NBCR','NB', 'NB'","Indicates the type of purchasing document, e.g. 'NB' for standard purchase order.",indirect,Status & Indicators
Incoterms (INCO1),3," 'CFR','FOB', 'FH'","Refers to the terms of delivery and payment between trading partners as defined by Incoterms, which can influence cost distribution and transportation methods",indirect,Status & Indicators
Item Category (PSTYP),3,EMPTY,"Represents the type of item in a purchasing document, with values like 'Standard', 'Subcontracting', 'Consignment', 'Stock Transfer'.",indirect,Status & Indicators
Item Category (PSTYV),3," 'TAQ','ELN', 'TAC'","Defines the item category in purchasing documents, determines the process of a purchasing item, like standard (NORM) or subcontracting (SUBC).",indirect,Status & Indicators
Sales Org. (VKORG),3," 'AG01','1.0', 'SIT1'","Refers to the sales organization within a company, which is responsible for distributing goods and services",indirect,Status & Indicators
Item (EBELP),3,"'20', '10', '20'",A line item number in a purchasing document.,indirect,UIDs
Item (POSNR),3,"'20', '30', '18'","Represents the item number in a sales order or document, identifying specific items in a transaction",indirect,UIDs
Purchasing Doc. (EBELN),3,"'4500010268', '4503105957', '4500010355'",A unique number identifying a purchasing document such as a purchase order.,indirect,UIDs
Purchasing Org. (EKORG),3," 'AG01', 'E001','CM03'","Identifies the purchasing organization responsible for procurement activities, can contain organizational codes.",indirect,UIDs
Transaction Code (TCODE),3," 'ZFB01', '/VL01N', 'YVL01N'","Contains the code to access functions in SAP, such as 'ME21N' for creating purchase orders.",indirect,UIDs
Backlog purch. order (BL_PURCH_ORD),2," '39', '24', '15'","Indicates the backlog purchase orders, values could represent the number of orders pending beyond their expected delivery date.",direct,"Amounts, Values & Units"
Backlog purch. req. (BL_PURCH_REQ),2," '8', '28', '6'","The quantity of purchase requisitions that are backlogged,  this is typically a numerical value",direct,"Amounts, Values & Units"
Base Unit (MEINS),2,"'EA', 'TO', 'ST'","Stores the base unit of measure for materials, such as 'KG' for kilograms or 'L' for liters, which is used across transactions.",direct,"Amounts, Values & Units"
BL manuf. orders (BL_MANUF_ORDERS),2," '2', '4', '24'",Number of batch level manufacturing orders,direct,"Amounts, Values & Units"
Delivery Qty (LFIMG),2," '3.0', '2.0', '1.0'","This column stores the quantity of goods that have been delivered,  values are typically numerical",direct,"Amounts, Values & Units"
Doc. Currency (WAERK),2," 'USD', 'INR','EUR'","Shows the document currency for transactions, such as 'USD' or 'EUR'.",direct,"Amounts, Values & Units"
Goods Receipt Qty. (GR_AMOUNT),2," '250.0', '7.0','6096.0'","Quantity of goods received, typically measured in units or kilograms",direct,"Amounts, Values & Units"
Invoice Qty. (IV_AMOUNT),2,"'150.0', '1000.0', '0.0'","Quantity of items invoiced, usually expressed in units or pieces",direct,"Amounts, Values & Units"
Invoice Value (IR_VALUE),2," '10000.0', '1393.2','1812524.0'","Total monetary value of the invoice, expressed in currency units",direct,"Amounts, Values & Units"
Net Price (NETPR),2," '556.0', '10.0','7143.87'","The price after deducting any discounts or rebates, represented in the document’s currency.",direct,"Amounts, Values & Units"
Open manuf. orders (OPEN_MANUF_ORDERS),2,"'3', '1', '2'","Number of manufacturing orders that are currently open and not completed,  data is usually a numerical count",direct,"Amounts, Values & Units"
Open purch. orders (OPEN_PURCH_ORD),2," '4','1', '2'","Contains the number of currently open purchase orders, which indicates pending transactions.",direct,"Amounts, Values & Units"
PO Quantity (MENGE),2,"'1.0', '6096.0', '5.0'",Quantity of the material ordered in the purchase order.,direct,"Amounts, Values & Units"
Price Unit (PEINH),2," '1','1','1'","The quantity of the material for which the price applies, used as a basis for pricing in purchasing documents.",direct,"Amounts, Values & Units"
Sales Unit (VRKME),2," 'BAG','EA', 'ST'","The sales unit column holds the unit of measure for products in sales documents, potential values include 'PCS' for pieces, 'KG' for kilograms, etc.",direct,"Amounts, Values & Units"
Scheduled Qty (MENGE),2,"'10.0', '2.0', '1.0'","Shows the quantity of items ordered or scheduled for delivery, including units of measure.",direct,"Amounts, Values & Units"
Unrestricted (LABST),2," '1193.0','1981.0', '80048.8'","The amount of stock that is free for use and not earmarked for any restriction,  values are numerical quantities",direct,"Amounts, Values & Units"
Actual GI Date (WADAT_IST),2," '2022-07-15','2022-07-25', '2021-01-09'","Date goods issue (GI) actually occurred, typically in the format YYYYMMDD",direct,Dates & Timestamps
Actual release (FTRMI),2,"'2021-03-23', '2022-05-19', '2022-05-11'","The actual date when a financial transaction is released for execution, formatted as YYYYMMDD.",direct,Dates & Timestamps
Changed On (AEDAT),2," '2021-04-23', '2017-04-03','2021-04-16'","Date the record was last modified, typically YYYY-MM-DD",direct,Dates & Timestamps
Created on (Header) (AEDAT_H),2," '2021-10-10','2021-09-30', '2021-09-23'","Date the entire document or transaction was created, format is usually YYYYMMDD.",direct,Dates & Timestamps
Created on (Item) (AEDAT),2," '2021-09-15', '2021-09-24', '2021-10-06'","Date the individual item was created, format is typically YYYYMMDD.",direct,Dates & Timestamps
Current Period (LFMON),2,"'5', '1', '4'","The current accounting period in the fiscal year, typically a month, expressed in numbers (e.g., 01 for January)",direct,Dates & Timestamps
Earliest manuf.date (DGLTS_OPEN_MANUF),2,"'2022-05-20','2022-05-20','2022-05-20'","The earliest date a manufacturing order was placed, likely in YYYY-MM-DD format",direct,Dates & Timestamps
Entered On (CPUDT),2," '2017-05-14', '2020-11-27', '2022-05-11'","The date on which an entry was recorded in the system, denotes when information was entered, formatted as YYYYMMDD.",direct,Dates & Timestamps
GR Creation Date (GR_CPUDT),2,"'2021-09-30', '2021-10-05', '2021-10-12'",Date when the goods receipt was posted in the system,direct,Dates & Timestamps
GR Year (GR_MJAHR),2," '2021','2021', '2021'",Calendar year in which the goods receipt was posted,direct,Dates & Timestamps
IR: Year (IR_MJAHR),2," '2021','2021','2021'","Fiscal year of the invoice receipt, which can help in identifying the accounting period.",direct,Dates & Timestamps
Oldest 'LA' date (PEDTR_LA),2," '2021-10-28', '2021-09-05', '2018-06-18'","Oldest logistics application date, potentially reflecting the date format YYYY-MM-DD",direct,Dates & Timestamps
Oldest manuf.date (DGLTS_BL_MANUF),2,"'2021-07-12', '2021-01-12', '2020-01-09'","The oldest manufacturing date, which could be in a format such as YYYY-MM-DD",direct,Dates & Timestamps
Oldest PO del.date (EINDT_BL_PURCH_ORD),2," '2019-10-11', '2019-05-07', '2020-09-07'","The delivery date for the oldest backlogged purchase order, indicates when goods or services are expected to be delivered.",direct,Dates & Timestamps
Oldest PR rel.date (FRGDT_PURCH_REQ),2," '2019-09-18','2022-03-01', '2022-02-18'",Holds the release date of the oldest purchase requisition indicating when a purchase request was authorized.,direct,Dates & Timestamps
Pick Date (KODAT),2," '2021-03-15', '2021-07-03','2021-04-06'","The date on which items were picked for an order, could be in the format YYYYMMDD, indicating the process's efficiency",direct,Dates & Timestamps
Pl. Deliv. Time (PLIFZ),2,EMPTY,Planned number of days from order to delivery,direct,Dates & Timestamps
Posting Date (BUDAT),2," '2022-05-10', '2019-09-26', '2022-05-11'","Contains the posting date for transactions, showing when the transaction was recorded in the financial accounts.",direct,Dates & Timestamps
Sched. finish (GLTRS),2," '2022-05-31', '2022-05-18', '2022-05-06'","Scheduled finish date of a process or manufacturing order, in a format such as YYYY-MM-DD",direct,Dates & Timestamps
Tech.Completion (IDAT2),2,"'2021-02-08','2021-02-08','2021-02-08'","The date of technical completion of an order or operation, formatted as YYYYMMDD.",direct,Dates & Timestamps
Year Cur.Period (LFGJA),2,"'2022', '2021', '2020'","The fiscal year and current period of the company's financial calendar, often used in accounting and finance reports, typically formatted YYYY for the year with period numbers ranging from 01 to 12.",direct,Dates & Timestamps
Prec.Doc.Categ. (VGTYP),2,"'V', 'V', 'C'","Defines the preceding document category, such as purchase requisition or request for quotation.",indirect,Status & Indicators
ABC Indicator (MAABC),2,"'A','A','A'","Classification of materials for planning and control purposes, based on the ABC analysis, with values A, B, or C.",indirect,Status & Indicators
Conf. Control (BSTAE),2,"'9', '4', '4'",Status regarding the confirmation control features in procurement,indirect,Status & Indicators
Del. Indicator (LOEKZ),2,EMPTY,"Deletion flag/indicator, signals whether a record is marked for deletion in a database",indirect,Status & Indicators
Delivery Prior. (LPRIO),2,EMPTY,"Indicates the priority of the delivery of goods, can include values like 'Urgent', 'Normal', 'Low'.",indirect,Status & Indicators
Delivery Type (LFART),2," 'LO', 'TM42', 'ELR'","Type of delivery method, which includes the terms of shipping and handling, e.g., standard delivery, express",indirect,Status & Indicators
DF plant level (LVORM),2,EMPTY,"Flag indicating whether the plant (or storage location within the plant) has been marked for deletion, 'X' usually means it is.",indirect,Status & Indicators
Distr. Channel (VTWEG),2," 'OM', '01','1'","Distribution channel through which products are sold, e.g., retail, wholesale, direct sales",indirect,Status & Indicators
Document Cat. (VBTYP),2," 'J','7', 'J'","Represents the document category to identify different business transactions, such as invoices or payments.",indirect,Status & Indicators
Document Type (BLART),2,"'WA', 'KR','WA'","Denotes the document type to categorize accounting documents, values could include 'Invoice', 'Credit Memo', etc.",indirect,Status & Indicators
Earliest PO category (BSTYP_OPEN_PURCH_ORD),2,EMPTY,"Indicates the category of the earliest open purchase order, such as 'standard PO' or 'subcontracting'",indirect,Status & Indicators
Earlistordercat (AUTYP_OPEN_MANUF),2,EMPTY,"This likely refers to categories of early manufacturing orders which can dictate production schedules,  values are typically categorical or numerical identifiers",indirect,Status & Indicators
Final Delivery (EGLKZ),2,EMPTY,"Indicates whether goods have been finally delivered, values include 'X' for delivered.",indirect,Status & Indicators
Goods Mvmnt Sts (WBSTA),2," 'A','C', 'C'","Status of goods movement, indicating stages such as 'not started', 'in process', or 'completed'",indirect,Status & Indicators
Incompl. reg. GI (UVWAK),2," 'A','C', 'C'","Indicates incomplete goods issue registration, typically a binary or status value indicating if an issue is complete.",indirect,Status & Indicators
Insp.lot from GR (INSP_LOT_GR_EXISTS),2,EMPTY,"Indicates whether an inspection lot from goods receipt exists, typically boolean values (YES/NO).",indirect,Status & Indicators
Insp.lot w.outst. GR (INSP_LOT_W_OUTST_GR_EXISTS),2,EMPTY,"Indicates whether an inspection lot without goods receipt exists, typically boolean values (YES/NO).",indirect,Status & Indicators
Movement Type (BWART),2," '671', '631', '561'","Code depicting the type of stock movement, e.g., goods receipt or issue",indirect,Status & Indicators
Oldest order cat. (AUTYP_BL_MANUF),2,EMPTY,"Refers to the category of the oldest manufacturing order in the system, which can range from custom orders to stock replenishment.",indirect,Status & Indicators
Oldest PO category (BSTYP_BL_PURCH_ORD),2,EMPTY,"Represents the category of the oldest backlogged purchase order, similar to 'BSTYP_OPEN_PURCH_ORD'.",indirect,Status & Indicators
Order Type (AUART),2,"'PI01', 'YPO1', 'PI01'","Order type specifies the kind of sales order or transaction,  values might be 'OR' for Standard Order, 'RE' for Returns, etc.",indirect,Status & Indicators
P-S Mat. Status (MMSTA),2,"'99.0','99.0','99.0'","Plant-Specific Material Status, indicating the usability stage of the material, e.g., free for use, blocked",indirect,Status & Indicators
Packing Status (PKSTA),2," 'A','C', 'B'","Indicates the status of packaging materials/process in logistics, such as 'packed' or 'not packed'",indirect,Status & Indicators
Picking Status (KOSTA),2," 'A','C', 'B'","Indicates the status of order picking and preparation for shipment,  potential values are 'Not started', 'In progress', 'Completed'",indirect,Status & Indicators
Proc. State (PROCSTAT),2," '8', '2','3'","Current processing state of the document or line item, values might include codes for 'open', 'in process', 'closed'.",indirect,Status & Indicators
Procurement (BESKZ),2," 'E', 'F','F'","Procurement type, indicating how a material is provided (e.g., in-house production or external procurement).",indirect,Status & Indicators
Purch. Group (EKGRP),2,"'AF', '1', '2'","Purchasing group responsible for procurement activities, can represent a buyer or group of buyers",indirect,Status & Indicators
Quality Insp. (INSME),2,"'11.0', '0.0', '2.0'","Reflects whether items are in quality inspection,  potential statuses could be 'In inspection', 'Passed', 'Failed', etc.",indirect,Status & Indicators
Release group (FRGGR),2,"'Z1', 'Z1','Z1'",Code representing a group of document types requiring similar approval processes.,indirect,Status & Indicators
Status (STATU),2,"'9', '9', 'R'","General status of an object, could be the status of a sales order, delivery note, etc., indicating stages like open, in process, completed",indirect,Status & Indicators
Stock Type (INSMK),2,EMPTY,"Type of stock indicating quality or status, e.g., unrestricted use, in quality inspection, or blocked",indirect,Status & Indicators
Trans. Group (TRAGR),2," '3', '1','1'","Transportation group classifies materials or products requiring similar transportation,  this could affect routing and logistical planning",indirect,Status & Indicators
Transp.Plng Sts (TRSTA),2," 'C', 'A','A'","Status reflecting the transportation planning steps, which could be 'not planned', 'planned', 'partially executed', or 'completed'",indirect,Status & Indicators
WM Activity Sts (LVSTA),2," 'A','C', 'B'","Represents the status of activities in the warehouse management system, including picking, packing, and shipment preparation.",indirect,Status & Indicators
BL plan. order 'LA' (BL_PLANNED_LA),2," '20', '8','14'",Number of batch level planned orders for logistics applications,direct,UIDs
Delivery (VBELN),2," 'AMER200499', '84004971', '84004952'","Delivery document number, the unique identifier for a delivery process, usually comprising a numeric or alphanumeric string.",indirect,UIDs
Earlistmanuforder (AUFNR_OPEN_MANUF),2,EMPTY,"The order number of the earliest manufacturing order, relevant for tracking and planning production activities.",indirect,UIDs
Earlistpurchorder (EBELN_OPEN_PURCH_ORD),2,EMPTY,"References the earliest or oldest purchase order number still open, which is an alphanumeric value.",indirect,UIDs
GR: Doc (GR_MBLNR),2," '5001295980.0', '5001295951.0', '5000028220.0'",Document number associated with the goods receipt transaction,indirect,UIDs
IR: Doc (IR_MBLNR),2," '5105604615.0', '5105605938.0','5105604604.0'","Invoice Receipt Document Number, which is a reference number for tracking the receipt of invoices",indirect,UIDs
Oldest manuf. order (AUFNR_BL_MANUF),2,EMPTY,The oldest manufacturing order number,indirect,UIDs
Oldest planned order (PLNUM_LA),2,EMPTY,The oldest planned order number,indirect,UIDs
Oldest purch. order (EBELN_BL_PURCH_ORD),2,EMPTY,The unique number identifying the oldest backlogged purchase order.,indirect,UIDs
Oldest purchase req. (BANFN_PURCH_REQ),2,EMPTY,"Stores the identifier for the oldest purchase requisition, could be a sequential number.",indirect,UIDs
Order (AUFNR),2," '1931535', '1931031', '1901698'","Production or process order number, used to define the sequence and specifics of production or services",indirect,UIDs
Purchase Req. (BANFN),2,EMPTY,"Purchase Requisition Number, initiating the procurement process for required materials or services",indirect,UIDs
Reference Doc. (VGBEL),2," '4500013356', '87098', '4500013485'","Stores the number of the reference document, like a contract or previous purchase order number.",indirect,UIDs
Reference Item (VGPOS),2,"'20', '20', '30'","Refers to the item number of a reference purchasing document, such as a Purchase Order line item number.",indirect,UIDs
Trading Partner (VBUND),2," '99999', 'HZ9999','999999'","Identifies a trading partner, which could be another company or intra-company department",indirect,UIDs
Warehouse No. (LGNUM),2," 'W42', '121', 'ZA5'","Contains the warehouse number, indicating the location where goods are stored.",indirect,UIDs
Entered By (ERNAM),2," 'NIEME', 'DACHEVA', 'C5317887'","Identifier of the user who entered the data in the system, could be a username or employee ID",indirect,UIDs
MRP Controller (DISPO),2,"'PP1', '001','PP1'","Person or group responsible for material requirements planning activities, often critical in inventory and production planning",indirect,UIDs
User Name (USNAM),2,"'DMCTESTER','DMCTESTER','DMCTESTER'","Identifies the user who created or last changed a transaction, typically storing a username or employee ID.",indirect,UIDs
Text (SGTXT),1,"'Reference Segment Text','Reference Segment Text','Reference Segment Text'","Provides additional information about the transaction, such as goods or services descriptions, which can be used for clarification or reporting purposes",direct,Ambiguous
Description (MAKTX),1," 'Tie', 'MFG-MUFFIN-1','YYY MP : finished material 1'","Textual description of materials or products, giving details such as name, specifications, and size.",direct,Ambiguous
Conf. error w. GM (COGI_ERROR),1,EMPTY,Records errors in goods movement confirmation which can cause delays and additional resource consumption,indirect,Ambiguous
Amount in LC (DMBTR),1,"'14.72', '369.0', '414.0'","Shows the transaction amount in the local currency, which directly affects financial statements and reporting",direct,"Amounts, Values & Units"
Base quantity (BASMG),1,"'0.0','0.0','0.0'",Standard quantity used to compare against actual production to determine efficiency or variance.,direct,"Amounts, Values & Units"
Base Unit (GMEIN),1,"'EA', 'CM', 'PAL'","Base Unit typically indicates the basic unit of measure used for inventory and production, such as 'KG' for kilograms, 'L' for liters.",direct,"Amounts, Values & Units"
CD Amount (WSKTO),1," '4.0', '0.0','5.0'","Cash discount amount, representing a reduction in invoice amount if a payment is made before a certain date  expressed in currency value.",direct,"Amounts, Values & Units"
CD Percentage 1 (ZBD1P),1," '0.0','3.0','3.0'",The first level percentage for a cash discount offered to promote early payment of an invoice.,direct,"Amounts, Values & Units"
